biomass,unit_biomass,conductivity,unit_cond
19.83,mg_per_m2,30.22,ms
24.4,mg_per_m2,40.35,ms
27.36,mg_per_m2,59.42,ms
48.25,mg_per_m2,91.28,ms
19.17,mg_per_m2,24.16,ms
56.97,mg_per_m2,90.35,ms
51.86,mg_per_m2,94.74,ms
40.83,mg_per_m2,67.78,ms
37.11,mg_per_m2,64.77,ms
3.55,mg_per_m2,10.87,ms
15.21,mg_per_m2,24.57,ms
13.91,mg_per_m2,21.77,ms
39.84,mg_per_m2,70.27,ms
31.25,mg_per_m2,41.49,ms
47.88,mg_per_m2,78.13,ms
30.32,mg_per_m2,52.28,ms
40.32,mg_per_m2,73.17,ms
58.1,mg_per_m2,99.23,ms
28.33,mg_per_m2,41.1,ms
40.98,mg_per_m2,78.86,ms
48.36,mg_per_m2,93.8,ms
19.4,mg_per_m2,25.15,ms
42.3,mg_per_m2,66.91,ms
12.9,mg_per_m2,16.93,ms
24.6,mg_per_m2,30.39,ms
27.83,mg_per_m2,41.68,ms
5.08,mg_per_m2,6.27,ms
27.37,mg_per_m2,41.33,ms
43.16,mg_per_m2,87.62,ms
30.83,mg_per_m2,37.33,ms
40.3,mg_per_m2,50.8,ms
34.14,mg_per_m2,61.96,ms
25.72,mg_per_m2,51.89,ms
19.19,mg_per_m2,22.69,ms
46.12,mg_per_m2,83.6,ms
51.26,mg_per_m2,68.5,ms
45.03,mg_per_m2,80.45,ms
16.08,mg_per_m2,15.25,ms
42.02,mg_per_m2,73.75,ms
23.32,mg_per_m2,44.07,ms
47.44,mg_per_m2,82.99,ms
29.21,mg_per_m2,66.47,ms
52.02,mg_per_m2,79.38,ms
34.54,mg_per_m2,57.54,ms
43.52,mg_per_m2,55.32,ms
47.37,mg_per_m2,79.99,ms
5.06,mg_per_m2,7.22,ms
33.22,mg_per_m2,50.34,ms
37.61,mg_per_m2,74.57,ms
34.14,mg_per_m2,70.81,ms
