lake,length,unit
a,10.8,cm
a,13.6,cm
a,10.1,cm
a,18.6,cm
a,14.2,cm
a,10.1,cm
a,14.7,cm
a,15.6,cm
a,15,cm
a,11.9,cm
a,18.3,cm
a,14.4,cm
a,10.8,cm
a,5.2,cm
a,16.9,cm
a,12.8,cm
a,12.9,cm
a,16.3,cm
a,15.9,cm
a,15.1,cm
a,16.2,cm
a,15.7,cm
a,13.3,cm
a,6,cm
a,15.2,cm
a,12.8,cm
a,12.5,cm
a,7.9,cm
a,11.3,cm
a,14.5,cm
a,17.8,cm
a,12.6,cm
a,14.4,cm
a,12.8,cm
a,8.2,cm
a,11.5,cm
a,11.6,cm
a,12.8,cm
a,16.9,cm
a,15.7,cm
a,12.4,cm
a,12.1,cm
a,15.4,cm
a,14.9,cm
a,10.6,cm
a,10.5,cm
a,14.3,cm
a,15.7,cm
a,12.6,cm
a,16.1,cm
b,16.4,cm
b,12.9,cm
b,16.2,cm
b,11,cm
b,20,cm
b,21.9,cm
b,13.7,cm
b,11.3,cm
b,17,cm
b,14.5,cm
b,23.4,cm
b,14.9,cm
b,17.4,cm
b,15.1,cm
b,12.4,cm
b,15.7,cm
b,8.7,cm
b,20.1,cm
b,15.5,cm
b,22.6,cm
b,16.7,cm
b,12.5,cm
b,17.1,cm
b,11.7,cm
b,10.6,cm
b,16,cm
b,13.4,cm
b,15,cm
b,15.3,cm
b,12.9,cm
b,13,cm
b,14.5,cm
b,19.1,cm
b,9.7,cm
b,17.1,cm
b,16.2,cm
b,18.7,cm
b,13.9,cm
b,16.3,cm
b,15.9,cm
b,13.1,cm
b,19.2,cm
b,19.1,cm
b,17.5,cm
b,20.6,cm
b,17,cm
b,10.5,cm
b,13,cm
b,10.7,cm
b,13.3,cm
c,12.8,cm
c,15.1,cm
c,11.8,cm
c,15.6,cm
c,12.7,cm
c,21.2,cm
c,17.5,cm
c,18.2,cm
c,16.3,cm
c,20.9,cm
c,12.8,cm
c,13.4,cm
c,20,cm
c,12.7,cm
c,14.3,cm
c,13.6,cm
c,13.9,cm
c,14,cm
c,16.7,cm
c,14.4,cm
c,13.2,cm
c,19.7,cm
c,14.2,cm
c,14.4,cm
c,14.6,cm
c,17.5,cm
c,14.7,cm
c,14.9,cm
c,12.6,cm
c,13.9,cm
c,15.2,cm
c,12.9,cm
c,16.9,cm
c,9.7,cm
c,16.1,cm
c,9.6,cm
c,13.9,cm
c,13.2,cm
c,12.7,cm
c,14.8,cm
c,8.3,cm
c,19.1,cm
c,9.2,cm
c,13.4,cm
c,11.1,cm
c,12.4,cm
c,22.3,cm
c,15.1,cm
c,10.5,cm
c,9.3,cm
