StCode,n_sp,n_sp_diad,n_sp_fresh,year,distance,cat_area,hull_area
chopo1,6,4,2,2011,14132,12.68046875,0.917695703
doro1,5,3,2,2011,12248,3.7746875,1.420069785
horoka1,6,4,2,2011,30095,13.24906,1.093551785
igar1,4,3,1,2011,10629,8.0965625,2.060676994
isam1,8,4,4,2011,7517,2.859844,2.452351588
ka1,6,4,2,2011,4808,4.59421875,0.976525904
ku1,5,3,2,2011,13886,41.53453125,4.258445291
ku3,5,4,1,2011,15665,22.7596875,2.170293977
ku4,4,2,2,2011,17933,16.27140625,0.611498292
na1,8,5,3,2011,11494,24.9234375,1.152023793
na2,6,4,2,2011,12909,17.51671875,1.423316513
naikawa1,4,2,2,2011,36946,4.862031,2.033357096
ne1,6,4,2,2011,16732,61.87546875,5.522591862
ne2,2,1,1,2011,20821,47.04359375,2.895987029
ne3,5,2,3,2011,20050,47.43125,3.932331781
ne4,3,1,2,2011,23953,17.33953,2.970663016
ne5,4,4,0,2011,13018,77.60953125,1.871685247
ogawa2,2,1,1,2011,34828,14.96484375,3.357507548
rai1,2,2,0,2011,33195,23.92328125,3.21684329
rai2,2,2,0,2011,30722,26.12,1.128592311
sh1,6,5,1,2011,3736,353.4784375,1.382563323
sh10,5,4,1,2011,25774,93.2353125,1.382825466
sh11,5,3,2,2011,28942,71.96875,8.220913471
sh12,7,5,2,2011,12013,250.981875,2.598949849
sh14,7,6,1,2011,14386,127.3185938,0.813862372
sh15,6,5,1,2011,2442,357.5775,1.551171023
sh17,5,4,1,2011,7002,329.064375,2.557609537
sh18,6,4,2,2011,30643,44.24625,0.933071856
sh19,5,2,3,2011,40004,4.3221875,4.564857683
sh2,6,4,2,2011,5753,335.3825,3.173324847
sh23,8,7,1,2011,7925,323.7371875,4.880094893
sh24,4,4,0,2011,10960,251.72625,3.67001251
sh25,7,6,1,2011,5487,335.8035938,1.797713653
sh3,9,8,1,2011,10095,252.6284375,0.442631834
sh4,7,5,2,2011,15246,125.0345313,10.3373143
sh5,7,5,2,2011,16261,124.3492,11.03950758
sh6,4,4,0,2011,20516,108.2653125,3.916719435
sh7,6,5,1,2011,22019,106.6425,6.457464753
sh8,4,3,1,2011,24144,95.74671875,4.095604937
so1,4,3,1,2011,10310,17.2053125,1.56156382
so3,5,4,1,2011,13959,12.92890625,0.695848356
utasai1,6,2,4,2011,24065,5.322813,2.560817652
wen1,7,4,3,2011,6875,4.81,1.02783625
wen2,4,3,1,2011,7187,4.57203125,0.812901205
yunosawa1,7,3,4,2011,4550,3.0803125,1.023329847
